date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_low	pt_up
5800	6800.0	6300.0	6214.6785109983075	1182	125.0	0.10575296108291032	0.0891	0.1241	-108.62068965517241	0.13070197074943657	0.10233312202227515	0.16550386580955623
5900	6900.0	6400.0	6301.477186311787	1052	122.0	0.11596958174904944	0.0976	0.13620000000000002	-110.34482758620689	0.13166152991797947	0.10266862722167686	0.1671914052714893
6000	7000.0	6500.0	6434.0329670329675	910	112.0	0.12307692307692308	0.1028	0.1454	-112.06896551724138	0.13262705897535365	0.10297499385289034	0.16889266916772264
6100	7100.0	6600.0	6701.854922279793	1158	144.0	0.12435233160621761	0.1062	0.1441	-113.79310344827586	0.13359857926803073	0.10328217115430001	0.1706076981022433
6200	7200.0	6700.0	6784.20205479452	1168	144.0	0.1232876712328767	0.1053	0.1429	-115.51724137931035	0.1345761119809099	0.10359016064409693	0.17233653128383772
6300	7300.0	6800.0	6863.013266998341	1206	155.0	0.1285240464344942	0.1105	0.1482	-117.24137931034483	0.13555967813310082	0.103898963839463	0.1740792064943298
6400	7400.0	6900.0	6936.222042139384	1234	152.0	0.12317666126418152	0.1057	0.1423	-118.96551724137932	0.13654929857367296	0.1042085822565422	0.17583531026858176
6500	7500.0	7000.0	7010.830122591944	1142	147.0	0.1287215411558669	0.1102	0.149	-120.6896551724138	0.13754499397737086	0.10451901741041139	0.17764196463259369
6600	7600.0	7100.0	7132.828178694158	1164	171.0	0.14690721649484537	0.1274	0.168	-122.41379310344827	0.13854678484029712	0.10489947611599941	0.17952141357143062
6700	7700.0	7200.0	7190.33038869258	1132	165.0	0.14575971731448764	0.12610000000000002	0.1671	-124.13793103448276	0.13955469147556201	0.10529828549138265	0.1814163615650887
6800	7800.0	7300.0	7238.849090909091	1100	159.0	0.14454545454545453	0.1246	0.1661	-125.86206896551724	0.14056873400890124	0.1056984809998872	0.18327606973454863
6900	7900.0	7400.0	7286.214539007092	1128	167.0	0.14804964539007093	0.1282	0.1696	-127.58620689655173	0.141588932374262	0.10610287832865323	0.18510179633291096
7000	8000.0	7500.0	7343.660746003552	1126	173.0	0.15364120781527532	0.13340000000000002	0.1754	-129.31034482758622	0.14261530630935748	0.10648131533871517	0.18694118945672514
7100	8100.0	7600.0	7439.891067538127	918	152.0	0.1655773420479303	0.14250000000000002	0.1905	-131.0344827586207	0.14364787535119114	0.10683261278704409	0.18879329584328702
7200	8200.0	7700.0	7574.395415472779	698	127.0	0.1819484240687679	0.15460000000000002	0.2117	-132.75862068965517	0.1446866588315501	0.10718493154764515	0.19065944905999627
7300	8300.0	7800.0	7666.80981595092	652	115.0	0.17638036809815952	0.14850000000000002	0.2069	-134.48275862068965	0.1457316758724694	0.10754461528028583	0.19253844770663514
7400	8400.0	7900.0	7793.200772200772	518	99.0	0.19111969111969113	0.1589	0.22640000000000002	-136.20689655172413	0.1467829453816669	0.10794888223385546	0.19443124529245648
7500	8500.0	8000.0	7842.6731517509725	514	94.0	0.1828793774319066	0.1512	0.21780000000000002	-137.93103448275863	0.14784048604794953	0.10839068141392005	0.19633812601397319
7600	8600.0	8100.0	8009.812834224599	374	57.0	0.15240641711229946	0.11850000000000001	0.19110000000000002	-139.6551724137931	0.14890431633659162	0.10884270141709321	0.19825910578900954
7700	8700.0	8200.0	8085.301775147929	338	56.0	0.16568047337278108	0.1287	0.20770000000000002	-141.3793103448276	0.14997445448468627	0.10929637542662694	0.20019419868198393
7800	8800.0	8300.0	8143.809210526316	304	52.0	0.17105263157894737	0.1317	0.216	-143.10344827586206	0.15105091849646934	0.10975170756591003	0.20214341687308357
7900	8900.0	8400.0	8268.829457364342	258	39.0	0.1511627906976744	0.1111	0.1981	-144.82758620689654	0.15213372613861792	0.11020870195225094	0.20410677062761062
8000	9000.0	8500.0	8368.930693069307	202	24.0	0.1188118811881188	0.0792	0.1681	-146.55172413793105	0.15322289493552332	0.11063986544479773	0.20608426826551846
8100	9100.0	8600.0	8466.954022988506	174	17.0	0.09770114942528736	0.0596	0.1476	-148.27586206896552	0.15431844216453916	0.11106086740179838	0.20807591613115783
8200	9200.0	8700.0	8569.111111111111	162	17.0	0.10493827160493827	0.0641	0.1582	-150.0	0.1554203848512059	0.11149977792368299	0.21008171856325478
8300	9300.0	8800.0	8665.231884057972	138	16.0	0.11594202898550725	0.0698	0.1761	-151.72413793103448	0.1565287397644518	0.11195008256523191	0.2121016778651391
8400	9400.0	8900.0	8820.983333333334	120	12.0	0.1	0.054900000000000004	0.16190000000000002	-153.44827586206895	0.15764352341177146	0.11240197589360862	0.2141357942752448
8500	9500.0	9000.0	8977.074074074075	108	10.0	0.09259259259259259	0.0476	0.1567	-155.17241379310346	0.15876475203438312	0.1128554616540296	0.21618406593790485
8600	9700.0	9150.0	9076.84	100	10.0	0.1	0.051500000000000004	0.1686	-157.75862068965517	0.16045871415617638	0.11352011884540006	0.2193377405889634
8700	9900.0	9300.0	9234.941176470587	102	13.0	0.12745098039215685	0.0724	0.2008	-160.3448275862069	0.1621672660697211	0.11415968923302873	0.22244950807507693
8800	10000.0	9400.0	9390.25	104	15.0	0.14423076923076922	0.0859	0.2197	-162.06896551724137	0.16331443150949881	0.11465077846542658	0.22453511483820462
8900	10100.0	9500.0	9483.884615384615	104	14.0	0.1346153846153846	0.0784	0.20850000000000002	-163.79310344827587	0.16446811896559005	0.11512636990834835	0.22664507352530547
9000	10200.0	9600.0	9607.36	100	15.0	0.15	0.08950000000000001	0.2281	-165.51724137931035	0.1656283429787397	0.11552195350791102	0.22878040733737806
9100	10400.0	9750.0	9706.96	100	14.0	0.14	0.0816	0.2164	-168.10344827586206	0.16738096610956124	0.11611754449422745	0.23200985999083765
9200	10600.0	9900.0	9881.78431372549	102	15.0	0.14705882352941177	0.0876	0.2238	-170.68965517241378	0.16914837522733842	0.11671656673790431	0.2352709932434671
9300	10700.0	10000.0	9979.75	104	16.0	0.15384615384615385	0.0935	0.2308	-172.41379310344828	0.1703348847870075	0.11711742112261178	0.23746264319778837
9400	10900.0	10150.0	10131.078431372549	102	17.0	0.16666666666666666	0.1033	0.2464	-175.0	0.1721270368150888	0.11775558782544668	0.24077639275386836
9500	11400.0	10450.0	10217.88	100	15.0	0.15	0.08950000000000001	0.2281	-180.17241379310346	0.17575609015141777	0.1190883713097549	0.24749809584226937
9600	12400.0	11000.0	10375.7	100	16.0	0.16	0.0974	0.2396	-189.6551724137931	0.1825652137680769	0.1215679407192595	0.2603267627683737
9700	13300.0	11500.0	10567.74	100	17.0	0.17	0.10550000000000001	0.2511	-198.27586206896552	0.18893155238954182	0.12386166935082826	0.2726066035321373
9800	13500.0	11650.0	10715.4	100	17.0	0.17	0.10550000000000001	0.2511	-200.86206896551724	0.1908743520024301	0.12455831713989482	0.2764288003603401
9900	18100.0	14000.0	11210.981481481482	108	16.0	0.14814814814814814	0.08990000000000001	0.2227	-241.3793103448276	0.22330875666868863	0.13611942072289968	0.34003408375845595
