date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_low	pt_up
5300	6300.0	5800.0	5793.338842975207	1210	727.0	0.6008264462809917	0.5733	0.6284000000000001	-100.0	0.5638200217404866	0.5236693550505037	0.6029004281939707
5400	6400.0	5900.0	5863.63201320132	1212	728.0	0.6006600660066007	0.5731	0.6282	-101.72413793103448	0.5646796581151677	0.5239458960706239	0.6043759939932563
5500	6500.0	6000.0	5970.128664495114	1228	746.0	0.6074918566775245	0.5802	0.6348	-103.44827586206897	0.5655389057851831	0.5242224224069416	0.6058477426521471
5600	6600.0	6100.0	6090.12	1250	753.0	0.6024	0.5753	0.6295000000000001	-105.17241379310344	0.5663977597659999	0.5244989338906344	0.6073157364534605
5700	6700.0	6200.0	6169.695945945946	1184	706.0	0.5962837837837838	0.5684	0.6242	-106.89655172413794	0.5672562150824629	0.5247754303529166	0.608781793206539
5800	6800.0	6300.0	6214.6785109983075	1182	708.0	0.5989847715736041	0.5711	0.6269	-108.62068965517241	0.5681142667689048	0.5250519116250392	0.6102458890530528
5900	6900.0	6400.0	6301.477186311787	1052	616.0	0.5855513307984791	0.5558000000000001	0.6153000000000001	-110.34482758620689	0.5689719098692585	0.5253283775382902	0.6117080002725923
6000	7000.0	6500.0	6434.0329670329675	910	529.0	0.5813186813186814	0.5491	0.613	-112.06896551724138	0.569829139437168	0.5255163463434855	0.613168103284047
6100	7100.0	6600.0	6701.854922279793	1158	699.0	0.6036269430051814	0.5755	0.6318	-113.79310344827586	0.5706859505360986	0.5256342862833459	0.6146261746469652
6200	7200.0	6700.0	6784.20205479452	1168	710.0	0.6078767123287672	0.5799000000000001	0.6358	-115.51724137931035	0.5715423382394467	0.5259238710841818	0.6160821910628927
6300	7300.0	6800.0	6863.013266998341	1206	737.0	0.6111111111111112	0.5836	0.6386000000000001	-117.24137931034483	0.5723982976306499	0.5262134382486852	0.6175056084199287
6400	7400.0	6900.0	6936.222042139384	1234	772.0	0.6256077795786061	0.5986	0.6526000000000001	-118.96551724137932	0.573253823803295	0.52650298757803	0.6188765391304918
6500	7500.0	7000.0	7010.830122591944	1142	703.0	0.6155866900175131	0.5874	0.6438	-120.6896551724138	0.5741089118612275	0.5266850282876805	0.6202455778026229
6600	7600.0	7100.0	7132.828178694158	1164	734.0	0.6305841924398625	0.6029	0.6583	-122.41379310344827	0.5749635569186585	0.5268319078067638	0.6216127052993343
6700	7700.0	7200.0	7190.33038869258	1132	725.0	0.6404593639575972	0.6125	0.6684	-124.13793103448276	0.5758177541002727	0.526978782666762	0.6229779026014598
6800	7800.0	7300.0	7238.849090909091	1100	706.0	0.6418181818181818	0.6135	0.6701	-125.86206896551724	0.5766714985413354	0.5271256528422106	0.6243411508085667
6900	7900.0	7400.0	7286.214539007092	1128	711.0	0.6303191489361702	0.6022000000000001	0.6585000000000001	-127.58620689655173	0.5775247853877981	0.5272737496685519	0.6257011116830894
7000	8000.0	7500.0	7343.660746003552	1126	717.0	0.6367673179396093	0.6087	0.6648000000000001	-129.31034482758622	0.5783776097964054	0.5274245714521327	0.627057914599523
7100	8100.0	7600.0	7439.891067538127	918	582.0	0.6339869281045751	0.6025	0.6647000000000001	-131.0344827586207	0.5792299669347999	0.5275753881735291	0.6284127200617429
7200	8200.0	7700.0	7574.395415472779	698	438.0	0.6275071633237822	0.5913	0.6628000000000001	-132.75862068965517	0.5800818519816261	0.5277261998041137	0.6297655097587042
7300	8300.0	7800.0	7666.80981595092	652	403.0	0.6180981595092024	0.5805	0.6548	-134.48275862068965	0.580933260126636	0.5278770063152636	0.6311162655014633
7400	8400.0	7900.0	7793.200772200772	518	310.0	0.5984555984555985	0.5559000000000001	0.64	-136.20689655172413	0.5817841865707921	0.5280278076783594	0.6324649692239942
